	board	digit	filled	type	x	y
175	2.2.0004000003000030	1	1	row	0	0
176	2.2.0000400000000300	1	1	column	0	0
177	2.2.0400000300000000	1	1	row	0	0
178	2.2.0000100000300300	1	1	column	0	0
179	2.2.0004000000300300	1	1	row	0	0
180	2.2.0000100003000000	1	1	column	0	0
181	2.2.0000200000030300	1	1	column	0	0
182	2.2.0020000000030300	1	1	row	0	0
183	2.2.0000400000300300	1	1	column	0	0
184	2.2.0020000300000300	1	1	row	0	0
185	2.2.0200000300000030	1	1	row	0	0
186	2.2.0000000340000300	1	1	column	0	0
187	2.2.0200003000000000	1	1	row	0	0
188	2.2.0100000300000030	1	1	row	0	0
189	2.2.0000000300301000	1	1	column	0	0
190	2.2.0001000000300300	1	1	row	0	0
191	2.2.0000200000000300	1	1	column	0	0
192	2.2.0001000003000030	1	1	row	0	0
193	2.2.0000200003000003	1	1	column	0	0
194	2.2.0200003000000003	1	1	row	0	0
195	2.2.0000003003001000	1	1	column	0	0
196	2.2.0010000303000000	1	1	row	0	0
197	2.2.0000000310000030	1	1	column	0	0
198	2.2.0002000003000030	1	1	row	0	0
199	2.2.0000100003000030	1	1	column	0	0
200	2.2.0040000000030300	1	1	row	0	0
201	2.2.0000000303004000	1	1	column	0	0
202	2.2.0400003000000000	1	1	row	0	0
203	2.2.0000200000300300	1	1	column	0	0
204	2.2.0400003000000003	1	1	row	0	0
205	2.2.0010000300000300	1	1	row	0	0
206	2.2.0000100000030300	1	1	column	0	0
207	2.2.0004003000000300	1	1	row	0	0
208	2.2.0000000340000030	1	1	column	0	0
209	2.2.0040000003000003	1	1	row	0	0
210	2.2.0000200003000030	1	1	column	0	0
211	2.2.0400003000030000	1	1	row	0	0
212	2.2.0000003040000003	1	1	column	0	0
213	2.2.0100003000000003	1	1	row	0	0
214	2.2.0000400003000030	1	1	column	0	0
215	2.2.0000003000034000	1	1	column	0	0
216	2.2.0000000300302000	1	1	column	0	0
217	2.2.0000003040000300	1	1	column	0	0
218	2.2.0020000003000003	1	1	row	0	0
219	2.2.0000003003004000	1	1	column	0	0
220	2.2.0000400003000000	1	1	column	0	0
221	2.2.0001003000000300	1	1	row	0	0
222	2.2.0000000310000300	1	1	column	0	0
223	2.2.0002003003000000	1	1	row	0	0
224	2.2.0000003003002000	1	1	column	0	0
225	2.2.0000000320000030	1	1	column	0	0
226	2.2.0000003000031000	1	1	column	0	0
227	2.2.0100000300300000	1	1	row	0	0
228	2.2.0040000303000000	1	1	row	0	0
229	2.2.0000400003000003	1	1	column	0	0
230	2.2.0002000000300300	1	1	row	0	0
231	2.2.0000003010000003	1	1	column	0	0
232	2.2.0000000303001000	1	1	column	0	0
233	2.2.0020000303000000	1	1	row	0	0
234	2.2.0000003010000300	1	1	column	0	0
235	2.2.0000100000000300	1	1	column	0	0
236	2.2.0400000300300000	1	1	row	0	0
237	2.2.0000100003000003	1	1	column	0	0
238	2.2.0100003000030000	1	1	row	0	0
239	2.2.0000000303002000	1	1	column	0	0
240	2.2.0004003003000000	1	1	row	0	0
241	2.2.0000200003000000	1	1	column	0	0
242	2.2.0200000300300000	1	1	row	0	0
243	2.2.0001003003000000	1	1	row	0	0
244	2.2.0010000003000003	1	1	row	0	0
245	2.2.0000003000032000	1	1	column	0	0
246	2.2.0200000300000000	1	1	row	0	0
247	2.2.0400000300000030	1	1	row	0	0
248	2.2.0000000300304000	1	1	column	0	0
249	2.2.0100000300000000	1	1	row	0	0
250	2.2.0200003000030000	1	1	row	0	0
251	2.2.0240000100000000	1	2	row	0	0
252	2.2.0000400000103000	1	2	column	0	0
253	2.2.0230000000000001	1	2	row	0	0
254	2.2.0000400000012000	1	2	column	0	0
255	2.2.0042000000000100	1	2	row	0	0
256	2.2.0000000130002000	1	2	column	0	0
257	2.2.0420000000010000	1	2	row	0	0
258	2.2.0000001030004000	1	2	column	0	0
259	2.2.0430000100000000	1	2	row	0	0
260	2.2.0000200001003000	1	2	column	0	0
261	2.2.0203000000000010	1	2	row	0	0
262	2.2.0000400020000001	1	2	column	0	0
263	2.2.0430000000010000	1	2	row	0	0
264	2.2.0402000000000010	1	2	row	0	0
265	2.2.0000300040000010	1	2	column	0	0
266	2.2.0032000001000000	1	2	row	0	0
267	2.2.0000200040000100	1	2	column	0	0
268	2.2.0230000000010000	1	2	row	0	0
269	2.2.0000001020003000	1	2	column	0	0
270	2.2.0403000000100000	1	2	row	0	0
271	2.2.0023000001000000	1	2	row	0	0
272	2.2.0000200000014000	1	2	column	0	0
273	2.2.0032000000000100	1	2	row	0	0
274	2.2.0000000120004000	1	2	column	0	0
275	2.2.0230000100000000	1	2	row	0	0
276	2.2.0302000000000010	1	2	row	0	0
277	2.2.0000001040003000	1	2	column	0	0
278	2.2.0043000000000100	1	2	row	0	0
279	2.2.0000200030000010	1	2	column	0	0
280	2.2.0204000000000010	1	2	row	0	0
281	2.2.0000200000013000	1	2	column	0	0
282	2.2.0023000000000100	1	2	row	0	0
283	2.2.0302000000100000	1	2	row	0	0
284	2.2.0000200040000001	1	2	column	0	0
285	2.2.0000200001004000	1	2	column	0	0
286	2.2.0000000140002000	1	2	column	0	0
287	2.2.0000400001002000	1	2	column	0	0
288	2.2.0403001000000000	1	2	row	0	0
289	2.2.0034000001000000	1	2	row	0	0
290	2.2.0000400030000010	1	2	column	0	0
291	2.2.0340000000000001	1	2	row	0	0
292	2.2.0000400020000010	1	2	column	0	0
293	2.2.0302001000000000	1	2	row	0	0
294	2.2.0000300000104000	1	2	column	0	0
295	2.2.0024000001000000	1	2	row	0	0
296	2.2.0000200030000100	1	2	column	0	0
297	2.2.0320000000010000	1	2	row	0	0
298	2.2.0240000000000001	1	2	row	0	0
299	2.2.0000200000103000	1	2	column	0	0
300	2.2.0402001000000000	1	2	row	0	0
301	2.2.0204001000000000	1	2	row	0	0
302	2.2.0402000000100000	1	2	row	0	0
303	2.2.0000300020000100	1	2	column	0	0
304	2.2.0420000100000000	1	2	row	0	0
305	2.2.0000000120003000	1	2	column	0	0
306	2.2.0304000000000010	1	2	row	0	0
307	2.2.0000001040002000	1	2	column	0	0
308	2.2.0340000000010000	1	2	row	0	0
309	2.2.0204000000100000	1	2	row	0	0
310	2.2.0000400020000100	1	2	column	0	0
311	2.2.0320000100000000	1	2	row	0	0
312	2.2.0000300040000100	1	2	column	0	0
313	2.2.0000001030002000	1	2	column	0	0
314	2.2.0000300040000001	1	2	column	0	0
315	2.2.0043000001000000	1	2	row	0	0
316	2.2.0000000140003000	1	2	column	0	0
317	2.2.0024000000000100	1	2	row	0	0
318	2.2.0000300000102000	1	2	column	0	0
319	2.2.0000200040000010	1	2	column	0	0
320	2.2.0420000000000001	1	2	row	0	0
321	2.2.0000300000012000	1	2	column	0	0
322	2.2.0430000000000001	1	2	row	0	0
323	2.2.0000200030000001	1	2	column	0	0
324	2.2.0042000001000000	1	2	row	0	0
325	2.2.0403000000000010	1	2	row	0	0
326	2.2.0034000000000100	1	2	row	0	0
327	2.2.0000400030000100	1	2	column	0	0
328	2.2.0000001020004000	1	2	column	0	0
329	2.2.0203001000000000	1	2	row	0	0
330	2.2.0320000000000001	1	2	row	0	0
331	2.2.0304000000100000	1	2	row	0	0
332	2.2.0000400000013000	1	2	column	0	0
333	2.2.0000400000102000	1	2	column	0	0
334	2.2.0000300020000010	1	2	column	0	0
335	2.2.0000300020000001	1	2	column	0	0
336	2.2.0000300000014000	1	2	column	0	0
337	2.2.0203000000100000	1	2	row	0	0
338	2.2.0000400001003000	1	2	column	0	0
339	2.2.0000200000104000	1	2	column	0	0
340	2.2.0000300001004000	1	2	column	0	0
341	2.2.0340000100000000	1	2	row	0	0
342	2.2.0240000000010000	1	2	row	0	0
343	2.2.0304001000000000	1	2	row	0	0
344	2.2.0000300001002000	1	2	column	0	0
345	2.2.0000400030000001	1	2	column	0	0
346	2.2.0000000130004000	1	2	column	0	0
347	2.2.0304002000000000	1	2	row	0	0
348	2.2.0000002010003000	1	2	column	0	0
349	2.2.0301000000200000	1	2	row	0	0
350	2.2.0000000210003000	1	2	column	0	0
351	2.2.0410000000020000	1	2	row	0	0
352	2.2.0000000240003000	1	2	column	0	0
353	2.2.0310000000000002	1	2	row	0	0
354	2.2.0000300040000200	1	2	column	0	0
355	2.2.0034000002000000	1	2	row	0	0
356	2.2.0000002030004000	1	2	column	0	0
357	2.2.0104002000000000	1	2	row	0	0
358	2.2.0000100040000002	1	2	column	0	0
359	2.2.0301002000000000	1	2	row	0	0
360	2.2.0000400000021000	1	2	column	0	0
361	2.2.0410000000000002	1	2	row	0	0
362	2.2.0000300040000002	1	2	column	0	0
363	2.2.0000100000203000	1	2	column	0	0
364	2.2.0104000000000020	1	2	row	0	0
365	2.2.0034000000000200	1	2	row	0	0
366	2.2.0000400000201000	1	2	column	0	0
367	2.2.0140000000020000	1	2	row	0	0
368	2.2.0000002040001000	1	2	column	0	0
369	2.2.0041000002000000	1	2	row	0	0
370	2.2.0041000000000200	1	2	row	0	0
371	2.2.0000300002004000	1	2	column	0	0
372	2.2.0430000200000000	1	2	row	0	0
373	2.2.0000000210004000	1	2	column	0	0
374	2.2.0340000000020000	1	2	row	0	0
375	2.2.0403000000000020	1	2	row	0	0
376	2.2.0000400000023000	1	2	column	0	0
377	2.2.0310000200000000	1	2	row	0	0
378	2.2.0000400010000020	1	2	column	0	0
379	2.2.0043000002000000	1	2	row	0	0
380	2.2.0000400030000020	1	2	column	0	0
381	2.2.0304000000000020	1	2	row	0	0
382	2.2.0031000002000000	1	2	row	0	0
383	2.2.0000100030000200	1	2	column	0	0
384	2.2.0430000000020000	1	2	row	0	0
385	2.2.0130000000000002	1	2	row	0	0
386	2.2.0031000000000200	1	2	row	0	0
387	2.2.0000300010000200	1	2	column	0	0
388	2.2.0043000000000200	1	2	row	0	0
389	2.2.0304000000200000	1	2	row	0	0
390	2.2.0000000230004000	1	2	column	0	0
391	2.2.0000400030000200	1	2	column	0	0
392	2.2.0000300010000020	1	2	column	0	0
393	2.2.0130000200000000	1	2	row	0	0
394	2.2.0000002040003000	1	2	column	0	0
395	2.2.0403002000000000	1	2	row	0	0
396	2.2.0000002010004000	1	2	column	0	0
397	2.2.0000100030000002	1	2	column	0	0
398	2.2.0000400010000200	1	2	column	0	0
399	2.2.0410000200000000	1	2	row	0	0
400	2.2.0401000000200000	1	2	row	0	0
401	2.2.0000000230001000	1	2	column	0	0
402	2.2.0103002000000000	1	2	row	0	0
403	2.2.0104000000200000	1	2	row	0	0
404	2.2.0000400000203000	1	2	column	0	0
405	2.2.0000300040000020	1	2	column	0	0
406	2.2.0430000000000002	1	2	row	0	0
407	2.2.0000000240001000	1	2	column	0	0
408	2.2.0310000000020000	1	2	row	0	0
409	2.2.0000400010000002	1	2	column	0	0
410	2.2.0000400002003000	1	2	column	0	0
411	2.2.0000100002004000	1	2	column	0	0
412	2.2.0340000200000000	1	2	row	0	0
413	2.2.0014000002000000	1	2	row	0	0
414	2.2.0000300000024000	1	2	column	0	0
415	2.2.0000002030001000	1	2	column	0	0
416	2.2.0000100002003000	1	2	column	0	0
417	2.2.0140000000000002	1	2	row	0	0
418	2.2.0000300000201000	1	2	column	0	0
419	2.2.0014000000000200	1	2	row	0	0
420	2.2.0000400002001000	1	2	column	0	0
421	2.2.0000100030000020	1	2	column	0	0
422	2.2.0401000000000020	1	2	row	0	0
423	2.2.0103000000200000	1	2	row	0	0
424	2.2.0013000002000000	1	2	row	0	0
425	2.2.0000100000024000	1	2	column	0	0
426	2.2.0140000200000000	1	2	row	0	0
427	2.2.0403000000200000	1	2	row	0	0
428	2.2.0103000000000020	1	2	row	0	0
429	2.2.0130000000020000	1	2	row	0	0
430	2.2.0000300010000002	1	2	column	0	0
431	2.2.0301000000000020	1	2	row	0	0
432	2.2.0401002000000000	1	2	row	0	0
433	2.2.0000300000204000	1	2	column	0	0
434	2.2.0000100040000200	1	2	column	0	0
435	2.2.0000300002001000	1	2	column	0	0
436	2.2.0340000000000002	1	2	row	0	0
437	2.2.0000100000023000	1	2	column	0	0
438	2.2.0000100000204000	1	2	column	0	0
439	2.2.0013000000000200	1	2	row	0	0
440	2.2.0000300000021000	1	2	column	0	0
441	2.2.0000100040000020	1	2	column	0	0
442	2.2.0000400030000002	1	2	column	0	0
443	2.2.0140000000000003	1	2	row	0	0
444	2.2.0000100000302000	1	2	column	0	0
445	2.2.0102000000000030	1	2	row	0	0
446	2.2.0000100000032000	1	2	column	0	0
447	2.2.0140000000030000	1	2	row	0	0
448	2.2.0000200003001000	1	2	column	0	0
449	2.2.0120000000030000	1	2	row	0	0
450	2.2.0000003040002000	1	2	column	0	0
451	2.2.0041000003000000	1	2	row	0	0
452	2.2.0000400020000003	1	2	column	0	0
453	2.2.0012000003000000	1	2	row	0	0
454	2.2.0000200000031000	1	2	column	0	0
455	2.2.0201000000300000	1	2	row	0	0
456	2.2.0000000340001000	1	2	column	0	0
457	2.2.0420000300000000	1	2	row	0	0
458	2.2.0000100020000030	1	2	column	0	0
459	2.2.0201000000000030	1	2	row	0	0
460	2.2.0000200040000030	1	2	column	0	0
461	2.2.0014000000000300	1	2	row	0	0
462	2.2.0000100003002000	1	2	column	0	0
463	2.2.0021000000000300	1	2	row	0	0
464	2.2.0000000320001000	1	2	column	0	0
465	2.2.0410000300000000	1	2	row	0	0
466	2.2.0000100040000300	1	2	column	0	0
467	2.2.0204000000300000	1	2	row	0	0
468	2.2.0000100000304000	1	2	column	0	0
469	2.2.0041000000000300	1	2	row	0	0
470	2.2.0000003020004000	1	2	column	0	0
471	2.2.0420000000030000	1	2	row	0	0
472	2.2.0024000003000000	1	2	row	0	0
473	2.2.0042000000000300	1	2	row	0	0
474	2.2.0000100020000300	1	2	column	0	0
475	2.2.0000400010000030	1	2	column	0	0
476	2.2.0102000000300000	1	2	row	0	0
477	2.2.0000400020000300	1	2	column	0	0
478	2.2.0024000000000300	1	2	row	0	0
479	2.2.0000400010000300	1	2	column	0	0
480	2.2.0401000000300000	1	2	row	0	0
481	2.2.0000100040000003	1	2	column	0	0
482	2.2.0000000340002000	1	2	column	0	0
483	2.2.0000000310004000	1	2	column	0	0
484	2.2.0000200010000003	1	2	column	0	0
485	2.2.0104000000000030	1	2	row	0	0
486	2.2.0210000300000000	1	2	row	0	0
487	2.2.0204003000000000	1	2	row	0	0
488	2.2.0120000000000003	1	2	row	0	0
489	2.2.0120000300000000	1	2	row	0	0
490	2.2.0000200040000300	1	2	column	0	0
491	2.2.0000400020000030	1	2	column	0	0
492	2.2.0000003040001000	1	2	column	0	0
493	2.2.0042000003000000	1	2	row	0	0
494	2.2.0000003020001000	1	2	column	0	0
495	2.2.0021000003000000	1	2	row	0	0
496	2.2.0000200000301000	1	2	column	0	0
497	2.2.0401000000000030	1	2	row	0	0
498	2.2.0000200000034000	1	2	column	0	0
499	2.2.0000400010000003	1	2	column	0	0
500	2.2.0240000000030000	1	2	row	0	0
501	2.2.0000400003002000	1	2	column	0	0
502	2.2.0000400000032000	1	2	column	0	0
503	2.2.0000400000302000	1	2	column	0	0
504	2.2.0000400000031000	1	2	column	0	0
505	2.2.0402000000000030	1	2	row	0	0
506	2.2.0410000000030000	1	2	row	0	0
507	2.2.0420000000000003	1	2	row	0	0
508	2.2.0000003010004000	1	2	column	0	0
509	2.2.0014000003000000	1	2	row	0	0
510	2.2.0204000000000030	1	2	row	0	0
511	2.2.0000100003004000	1	2	column	0	0
512	2.2.0012000000000300	1	2	row	0	0
513	2.2.0000003010002000	1	2	column	0	0
514	2.2.0000000310002000	1	2	column	0	0
515	2.2.0402003000000000	1	2	row	0	0
516	2.2.0410000000000003	1	2	row	0	0
517	2.2.0000200010000300	1	2	column	0	0
518	2.2.0000100020000003	1	2	column	0	0
519	2.2.0201003000000000	1	2	row	0	0
520	2.2.0000400000301000	1	2	column	0	0
521	2.2.0104003000000000	1	2	row	0	0
522	2.2.0140000300000000	1	2	row	0	0
523	2.2.0000100040000030	1	2	column	0	0
524	2.2.0402000000300000	1	2	row	0	0
525	2.2.0000200040000003	1	2	column	0	0
526	2.2.0210000000000003	1	2	row	0	0
527	2.2.0240000000000003	1	2	row	0	0
528	2.2.0000200003004000	1	2	column	0	0
529	2.2.0240000300000000	1	2	row	0	0
530	2.2.0000200000304000	1	2	column	0	0
531	2.2.0401003000000000	1	2	row	0	0
532	2.2.0210000000030000	1	2	row	0	0
533	2.2.0000000320004000	1	2	column	0	0
534	2.2.0104000000300000	1	2	row	0	0
535	2.2.0000400003001000	1	2	column	0	0
536	2.2.0102003000000000	1	2	row	0	0
537	2.2.0000100000034000	1	2	column	0	0
538	2.2.0000200010000030	1	2	column	0	0
539	2.2.0324000000000000	1	3	row	0	0
540	2.2.0000200040003000	1	3	column	0	0
541	2.2.0234000000000000	1	3	row	0	0
542	2.2.0000300040002000	1	3	column	0	0
543	2.2.0243000000000000	1	3	row	0	0
544	2.2.0000200030004000	1	3	column	0	0
545	2.2.0423000000000000	1	3	row	0	0
546	2.2.0000300020004000	1	3	column	0	0
547	2.2.0342000000000000	1	3	row	0	0
548	2.2.0000400020003000	1	3	column	0	0
549	2.2.0432000000000000	1	3	row	0	0
550	2.2.0000400030002000	1	3	column	0	0
551	2.2.0413000000000000	1	3	row	0	0
552	2.2.0000100040003000	1	3	column	0	0
553	2.2.0314000000000000	1	3	row	0	0
554	2.2.0000400030001000	1	3	column	0	0
555	2.2.0143000000000000	1	3	row	0	0
556	2.2.0000300010004000	1	3	column	0	0
557	2.2.0134000000000000	1	3	row	0	0
558	2.2.0341000000000000	1	3	row	0	0
559	2.2.0000300040001000	1	3	column	0	0
560	2.2.0000400010003000	1	3	column	0	0
561	2.2.0431000000000000	1	3	row	0	0
562	2.2.0000100030004000	1	3	column	0	0
563	2.2.0421000000000000	1	3	row	0	0
564	2.2.0000100040002000	1	3	column	0	0
565	2.2.0412000000000000	1	3	row	0	0
566	2.2.0000200010004000	1	3	column	0	0
567	2.2.0142000000000000	1	3	row	0	0
568	2.2.0124000000000000	1	3	row	0	0
569	2.2.0000400020001000	1	3	column	0	0
570	2.2.0000100020004000	1	3	column	0	0
571	2.2.0000200040001000	1	3	column	0	0
572	2.2.0214000000000000	1	3	row	0	0
573	2.2.0241000000000000	1	3	row	0	0
574	2.2.0000400010002000	1	3	column	0	0
575	2.2.0003001000001000	1	1	row	0	1
576	2.2.0000000100100300	1	1	column	0	1
577	2.2.0002001000001000	1	1	row	0	1
578	2.2.0000001010000200	1	1	column	0	1
579	2.2.0003001010000000	1	1	row	0	1
580	2.2.0000001002000001	1	1	column	0	1
581	2.2.0020000000011000	1	1	row	0	1
582	2.2.0000000104001000	1	1	column	0	1
583	2.2.3000001000000001	1	1	row	0	1
584	2.2.0000001003000001	1	1	column	0	1
585	2.2.2000000100000000	1	1	row	0	1
586	2.2.0000000110000400	1	1	column	0	1
587	2.2.0004001000001000	1	1	row	0	1
588	2.2.0000040000001000	1	1	column	0	1
589	2.2.0040000010000001	1	1	row	0	1
590	2.2.0000000104000010	1	1	column	0	1
591	2.2.3000000100000000	1	1	row	0	1
592	2.2.0000020010000010	1	1	column	0	1
593	2.2.0004000010000010	1	1	row	0	1
594	2.2.0000001010000400	1	1	column	0	1
595	2.2.0000020010000001	1	1	column	0	1
596	2.2.2000000100000010	1	1	row	0	1
597	2.2.0000001004000001	1	1	column	0	1
598	2.2.0000000100100400	1	1	column	0	1
599	2.2.3000000100000010	1	1	row	0	1
600	2.2.0000000103001000	1	1	column	0	1
601	2.2.2000001000000001	1	1	row	0	1
602	2.2.0030000110000000	1	1	row	0	1
603	2.2.0000001002001000	1	1	column	0	1
604	2.2.4000000100000010	1	1	row	0	1
605	2.2.0002001010000000	1	1	row	0	1
606	2.2.4000000100100000	1	1	row	0	1
